# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  5 09:31:27 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_tmag:        TESS Magnitude
#
pl_name,pl_radj,pl_bmassj,pl_dens,pl_orbeccen,pl_eqt,pl_orbincl,st_spectype,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag
11 Com b,1.090,15.46400,14.900000,0.238000,,,G8 III,93.1846000,5.7260000,4.7230700,2.9430000,2.4840000,2.2820000,0.6390000,0.7320000,2.3580000,2.2700000,4.4403800,3.8379000
11 UMi b,1.090,14.74000,13.800000,0.080000,,,K4 III,125.3210000,6.3820000,5.0130000,2.8760000,2.0910000,1.9390000,-0.2900000,0.1430000,1.8940000,1.7870000,4.5621600,3.8229400
14 And b,1.160,3.55900,2.760000,0.000000,,,K0 III,75.4392000,6.2560000,5.2313300,3.0190000,2.6080000,2.3310000,1.5920000,2.5450000,2.7190000,2.7190000,4.9178100,4.3214000
14 Her b,1.120,8.05300,7.030000,0.373000,,144.652,K0 V,17.9323000,7.4950000,6.6193500,5.1580000,4.8030000,4.7140000,4.6760000,4.5430000,4.7210000,4.6740000,6.3830000,5.8631000
16 Cyg B b,1.200,1.78000,1.260000,0.680000,,,G3 V,21.1397000,6.8760000,6.2150000,4.9930000,4.6950000,4.6510000,4.7730000,4.5680000,4.9260000,4.7130000,6.0642800,5.6281000
17 Sco b,1.150,4.32000,3.510000,0.060000,,,K3 III,124.9530000,6.6150000,5.2260600,2.9430000,2.2660000,2.0940000,0.1220000,0.7520000,2.0580000,1.9310000,4.7542900,3.9765500
18 Del b,1.120,9.20700,8.230000,0.024000,,,G6 III,76.2220000,6.4300000,5.5104800,4.0320000,3.4400000,3.3660000,3.3700000,2.9310000,3.3550000,3.3080000,5.2747600,4.7181000
1RXS J160929.1-210524 b,1.664,8.00000,2.540000,,1700,,K7 V,139.1350000,14.1680000,12.6180000,9.8200000,9.1210000,8.9160000,8.7940000,8.7900000,8.6840000,8.5310000,12.0572000,11.1941000
24 Boo b,1.240,0.88300,0.574000,0.032000,,,G3 IV,95.9863000,6.4390000,5.5900000,3.8450000,3.3400000,3.1590000,,,,,5.3339000,4.7812000
24 Sex b,1.190,1.99000,1.440000,0.090000,,,K0 IV,72.0691000,7.3990000,6.4535000,5.2920000,4.4860000,4.2850000,4.0940000,3.5980000,4.2540000,4.2010000,6.2037400,5.6416000
24 Sex c,1.240,0.86000,0.559000,0.290000,,,K0 IV,72.0691000,7.3990000,6.4535000,5.2920000,4.4860000,4.2850000,4.0940000,3.5980000,4.2540000,4.2010000,6.2037400,5.6416000
2M0437 b,1.160,4.00000,3.180000,,1450,,M V,128.4840000,17.2370000,16.1860000,11.2980000,10.6560000,10.3860000,10.2840000,10.1200000,10.1040000,7.9920000,14.3374000,13.0123000
2MASS J01033563-5515561 AB b,1.100,13.00000,12.200000,,,,M5.5/M6,47.2000000,16.9930000,15.7880000,10.1620000,9.5800000,9.2370010,9.0470000,8.8040000,8.5580000,7.8170000,,12.0890000
